Partner Name,Partner ID,Description,Website,Certifications Count,Country,City
N/A,0010L00001tAiyUQAS,"OpsGuru guides organizations through digital transformation journeys with deep technical expertise, service, and partnerships. We live and breathe cloud technology, helping customers focus on their business objectives by relieving them of the mystification of the cloud. We focus on cloud adoption, app modernization, Kubernetes enablement, managed cloud operations, cloud security and data analytics",https://opsguru.io,144,Canada,N/A
N/A,001E000000NaBH7IAN,"Ollion (formerly 2nd Watch, Cloud Cover, & Cloud Comrade) provides cloud-native professional services and ongoing managed cloud services to organizations modernizing their IT infrastructure, services, applications and data insights leveraging the power of public cloud. We enable and enhance your cloud strategy, architecture, engineering, and ongoing management/optimization of your cloud services.",https://www.ollion.com/partners/amazon-web-services,239,Indonesia,N/A
N/A,001E000000NaBHoIAN,"Nordcloud is a European leader in cloud application modernisation, development, migration, managed services and training. Clients say working with us is like having a compass for their cloud journey – you have cloud-native experts guiding best practice, pre-empting pitfalls, providing essential technical support and helping you achieve better, and faster results.",http://www.nordcloud.com,1262,Finland,N/A
N/A,001E000000NaBI2IAN,"SMX is a leader in next-generation cloud, C5ISR, and advanced engineering and IT solutions operating in close proximity to clients across the U.S. and around the globe. SMX delivers scalable and secure solutions combined with the mission expertise needed to accelerate outcomes for the Department of Defense, Intelligence Community, Public Sector, Fortune 1000, public and private sector clients.",https://www.smxtech.com/,173,United States,N/A
N/A,001E000000Qcj4uIAB,"Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided everyday by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of over 340,000 team members in more than 50 countries.",https://www.capgemini.com/,15808,France,N/A
N/A,001E000000Rl0yZIAR,"With an ever-growing team of certified AWS experts, beSharp has achieved several competencies, DevOps, Well-Architected, and Solution Provider, among the others. From Cloud migrations to Cloud-Native Development, from DevOps to Managed Services with 24/7 support, beSharp takes care of every aspect of Cloud transformation projects, from strategy to delivery, and operations.",http://www.besharp.it,134,Italy,N/A
N/A,001E000000Rp5QNIAZ,"EPAM Systems Inc. (EPAM) is a leading digital transformation services and product engineering company. Our global teams span across 50+ countries, leveraging our 15,000+ AWS experienced engineers. Empowered by our industry leading engineering and consulting services, we create solutions on AWS that fuel competitive advantage for our clients. Learn more at www.epam.com.",http://www.epam.com,5228,United States,N/A
N/A,001E000000UfZ3GIAV,"Presidio is a leading IT services and solutions provider that helps customers connect IT of today to IT of tomorrow. Our deep technology expertise across cloud, security, modern IT infrastructure and networking underpin our ability to help customers accelerate time-to-outcome via agile digital platforms.",http://www.presidio.com,467,United States,N/A
N/A,001E000000YM87XIAT,"Cloudzone is a leading AWS Premier Partner and AWS Consulting Partner of the Year 2021 (Israel). CloudZone unique customer-centric business model accelerates and drives customer business by providing a wide range of cost-free Core Services such as Consulting, Architecture Design, Cloud Cost Management Platform, FinOps, 24/7 Noc and MSP Solutions, and more.",http://www.cloudzone.io,156,Israel,N/A
N/A,001E000000ZLAC7IAP,"We enable organisations to make modern happen by being big enough to deliver and small enough to care; by offering adaptive, scalable technology solutions; and by being right where our customers need us to be, moving at their pace, in their local region. Claranet is a services provider with annualised revenues of £530m/€600m/$650m, more than 10,000 business customers and ~3,300 employees.",http://www.claranet.com,478,United Kingdom,N/A
N/A,001E000000aTCdxIAG,"Devoteam is AWS Premier Consulting Partner with outstanding teams in France, Germany, UK, Portugal, Belgium, Netherlands, Spain, Italy and Sweden. Since 2013, our team of experts supports customers with scalable infrastructure, new ways of thinking and operating enabled by the AWS ecosystem to re-invent their business, and evolve into an enterprise platform.",https://acloud.devoteam.com/,916,France,N/A
N/A,001E000000bf7ZkIAI,"We help clients transform through consulting, industry solutions, business process services, IT modernization and managed services. NTT DATA enables clients, as well as society, to move confidently into the digital future. We are committed to our clients' long-term success and combine global reach with local client attention to serve them in 57 countries",http://www.nttdata.com,1315,Peru,N/A
N/A,001E000000eidUwIAI,"We accelerate business transformation for our customers. We bring real-world expertise to solve complex technology, business and talent challenges—across the globe. We’re a team of 80,000 strong, working with over 6,000 customers, including 80% of the Fortune 500 across North America, Europe and Asia, who partner with us for our scale, full-stack capabilities and speed. ",http://www.teksystems.com,732,United States,N/A
N/A,001E000000ekLueIAE,"Xebia provides services to implement, accelerate and manage your AWS cloud strategy. As a Premier Consulting Partner, we deliver high-quality consultancy for migrations, workloads, security, automation, and cost management for AWS services. We offer training and support for companies who wish to adopt the AWS cloud or simply need a pragmatic partner for their complex cloud challenges.",https://xebia.com/,252,Netherlands,N/A
N/A,001E000000fgUHEIA2,"IaaS Solutions using AWS, focusing on: Application and Infrastructure Migration to AWS. Disaster Recovery as a Service: Pay per use. Maintain minimal infrastructure until required. Data Backup and Storage: Unlimited expansion of your local storage needs. Infor EAM, BI and Visual on AWS. eCommerce Monitoring and Management of your applications. Analysis and optimization of current infrastructure.",http://www.escala24x7.com,354,Mexico,N/A
N/A,001E000000jD1zaIAC,"eCloudvalley is the AWS Premier Consulting Partner in APAC with a mission to accelerate customers' success by leveraging Digital Transformation with Cloud. We have served 1,000+ customers by our team of cloud experts with 500+ certifications. Services include cloud migration, cloud training, data solutions, SAP migration, database freedom, next-gen MSP, and automated cloud management platform.",https://www.ecloudvalley.com,251,China,N/A
N/A,001E000000lZT8dIAG,"Mission Cloud accelerates cloud transformation by delivering a differentiated suite of agile cloud managed services and consulting. As a leading AWS Premier Services Tier Partner, our team of cloud experts matches businesses with the personalized services and software they need to migrate, manage, modernize, and optimize their cloud environments.",http://www.missioncloud.com/,312,United States,N/A
